Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-05-23 11:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1716483700	390798091	4940	0	""	2024-05-23	11:01:40	5414.0176	455.55225	2105.4402	39.3456	55.0003	26.909	51.1432	0.00200757	11.0747	54.5005	-114.75	0.26661	24.0985	 28
DATA	1716483701	390798091	4944	0	""	2024-05-23	11:01:41	5417.8652	449.51544	2106.4822	39.3464	55.0003	26.9053	51.1432	0.00203156	11.0735	54.5005	-56.25	0.26661	24.097	247
DATA	1716483702	390798091	4948	0	""	2024-05-23	11:01:42	5422.4067	453.42905	2106.5154	39.3464	55.0003	26.9045	51.1432	0.00203599	11.073	54.5005	3.5	0.26661	24.0962	 97
DATA	1716483703	390798091	4952	0	""	2024-05-23	11:01:43	5415.8296	448.9227	2105.4929	39.3464	55.0003	26.9066	51.1432	0.00199622	11.0739	54.5005	125.75	0.26661	24.0962	 29
DATA	1716483704	390798091	4956	0	""	2024-05-23	11:01:44	5417.5234	451.15411	2105.1255	39.3468	55.0003	26.9082	51.1432	0.00202819	11.0744	54.5005	17	0.26661	24.0962	 94
DATA	1716483705	390798091	4960	0	""	2024-05-23	11:01:45	5413.4829	447.17612	2104.6697	39.3464	55.0003	26.9095	51.1432	0.00204257	11.0721	54.5005	-27	0.26661	24.0958	164
DATA	1716483706	390450954	4964	0	""	2024-05-23	11:01:46	5411.4316	449.97336	2105.5857	39.3472	55.0003	26.9074	51.1432	0.00203396	11.0723	54.5005	-62.25	0.26661	24.0962	 51
DATA	1716483707	390450954	4968	0	""	2024-05-23	11:01:47	5412.6455	453.51956	2105.4829	39.3464	55.0003	26.9082	51.1432	0.00200417	11.0727	54.5005	62.5	0.26661	24.0962	211
DATA	1716483708	390450954	4972	0	""	2024-05-23	11:01:48	5416.8882	449.73102	2104.7517	39.3464	55.0003	26.9099	51.1432	0.00201789	11.0726	54.5005	92.75	0.26661	24.0958	 33
DATA	1716483709	390450954	4976	0	""	2024-05-23	11:01:49	5414.5327	447.03421	2104.5	39.3464	55.0003	26.9099	51.1432	0.00198523	11.0729	54.5005	-34	0.26661	24.0958	 11
DATA	1716483710	390450954	4980	0	""	2024-05-23	11:01:50	5407.957	447.22516	2103.0159	39.3468	55.0003	26.9103	51.1432	0.00198322	11.073	54.5005	-82.75	0.26661	24.0962	190
DATA	1716483711	390450954	4984	0	""	2024-05-23	11:01:51	5411.3101	442.85913	2104.3501	39.3464	55.0003	26.9078	51.1432	0.00199392	11.0736	54.5005	-14.75	0.26661	24.0958	 36
DATA	1716483712	390450954	4988	0	""	2024-05-23	11:01:52	5406.7969	450.73102	2104.0901	39.3464	55.0003	26.907	51.1432	0.00201733	11.0745	54.5005	35.25	0.26661	24.095	139
DATA	1716483713	390450954	4992	0	""	2024-05-23	11:01:53	5406.0332	449.6875	2103.8135	39.3468	55.0003	26.9066	51.1432	0.00202727	11.0727	54.5005	71.5	0.26661	24.0946	156
DATA	1716483714	390108108	4996	0	""	2024-05-23	11:01:54	5402.4292	450.40906	2104.8489	39.3468	55.0003	26.9099	51.1432	0.00201336	11.0709	54.5005	59.5	0.26661	24.0954	210
DATA	1716483715	390108108	5000	0	""	2024-05-23	11:01:55	5396.292	452.66702	2103.2598	39.3472	55.0003	26.9078	51.1432	0.00203408	11.0735	54.5005	-63	0.26661	24.0958	 85
DATA	1716483716	390108108	5004	0	""	2024-05-23	11:01:56	5398.8789	454.44788	2102.6082	39.346	55.0003	26.9086	51.1432	0.00200548	11.0731	54.5005	52.5	0.26661	24.0954	157
